video_file,ground truth,audio_pred,face_pred,fidget_pred,prosodic_pred,audio_truth,face_truth,fidget_truth,prosodic_truth
814.8680485438227_823.0109942470208.mp4,1,"{'sadness': 0.005142353, 'joy': 0.001058254, 'love': 0.001005009, 'anger': 0.438487917, 'fear': 0.553003252, 'surprise': 0.001303137, 'speech_rate': 2.679658952}","{'angry': 0.066, 'disgust': 0.0, 'fear': 0.217, 'happy': 0.062, 'sad': 0.297, 'surprise': 0.098, 'neutral': 0.258, 'face_offscreen_ratio': 0.035532995}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.04375}","{'neutral': 1.0, 'happy': 3.37e-12, 'sad': 1.2e-11, 'angry': 1.08e-11}",1,0,0,0
290.58583712179234_301.018000504524.mp4,0,"{'sadness': 0.001868704, 'joy': 0.992178917, 'love': 0.001136655, 'anger': 0.003509651, 'fear': 0.001069604, 'surprise': 0.00023657, 'speech_rate': 3.238095238}","{'angry': 0.027, 'disgust': 0.001, 'fear': 0.02, 'happy': 0.739, 'sad': 0.087, 'surprise': 0.006, 'neutral': 0.119, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 1.0, 'happy': 1.38e-11, 'sad': 5.96e-10, 'angry': 4.05e-12}",0,0,0,0
1893.0986773986367_1900.0950749296283.mp4,0,"{'sadness': 0.001943566, 'joy': 0.995215893, 'love': 0.000420978, 'anger': 0.001320941, 'fear': 0.000788366, 'surprise': 0.000310414, 'speech_rate': 0.852272727}","{'angry': 0.47, 'disgust': 0.005, 'fear': 0.05, 'happy': 0.06, 'sad': 0.13, 'surprise': 0.025, 'neutral': 0.26, 'face_offscreen_ratio': 0.059171598}","{'movement_score': 0, 'fidget_percentage': 0.160714286, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 2.09e-10, 'happy': 1.0, 'sad': 1.93e-11, 'angry': 4.17e-12}",0,0,0,0
151.14927621029594_158.1624374958607.mp4,1,"{'sadness': 0.007083276, 'joy': 0.955891788, 'love': 0.002022993, 'anger': 0.02860513, 'fear': 0.005846306, 'surprise': 0.000550538, 'speech_rate': 2.824858757}","{'angry': 0.026, 'disgust': 0.0, 'fear': 0.005, 'happy': 0.0, 'sad': 0.042, 'surprise': 0.0, 'neutral': 0.926, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 1.0, 'happy': 5.34e-11, 'sad': 1.24e-10, 'angry': 5.03e-13}",1,0,0,0
443.52490294735935_456.7075518648466.mp4,1,"{'sadness': 0.910766065, 'joy': 0.012246723, 'love': 0.001668175, 'anger': 0.071222827, 'fear': 0.003650705, 'surprise': 0.00044549, 'speech_rate': 0.679245283}","{'angry': 0.041, 'disgust': 0.0, 'fear': 0.007, 'happy': 0.08, 'sad': 0.037, 'surprise': 0.0, 'neutral': 0.833, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 1.05e-09, 'happy': 4.23e-12, 'sad': 1.0, 'angry': 5.69e-12}",1,1,0,1
371.47315578222924_376.0834604627462.mp4,1,"{'sadness': 0.001479444, 'joy': 0.004065642, 'love': 0.000744067, 'anger': 0.963631749, 'fear': 0.029283701, 'surprise': 0.000795493, 'speech_rate': 4.07239819}","{'angry': 0.099, 'disgust': 0.023, 'fear': 0.102, 'happy': 0.065, 'sad': 0.068, 'surprise': 0.375, 'neutral': 0.268, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 1.43e-05, 'happy': 0.999985695, 'sad': 9.82e-11, 'angry': 3.21e-11}",1,0,0,0
332.41697063394605_342.00922393740086.mp4,0,"{'sadness': 0.017665718, 'joy': 0.965910614, 'love': 0.003864945, 'anger': 0.003455785, 'fear': 0.000997848, 'surprise': 0.008105084, 'speech_rate': 1.758014478}","{'angry': 0.104, 'disgust': 0.0, 'fear': 0.237, 'happy': 0.032, 'sad': 0.369, 'surprise': 0.044, 'neutral': 0.216, 'face_offscreen_ratio': 0.021551724}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 1.0, 'happy': 6.41e-12, 'sad': 8.17e-11, 'angry': 4.35e-12}",0,0,0,0
154.48447378514635_176.4504508999529.mp4,1,"{'sadness': 0.989496708, 'joy': 0.001925602, 'love': 0.000304456, 'anger': 0.006739317, 'fear': 0.001251818, 'surprise': 0.000282009, 'speech_rate': 1.181818182}","{'angry': 0.067, 'disgust': 0.0, 'fear': 0.231, 'happy': 0.056, 'sad': 0.252, 'surprise': 0.009, 'neutral': 0.386, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.05, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.11875}","{'neutral': 8.76e-09, 'happy': 4.4e-12, 'sad': 1.0, 'angry': 1.57e-10}",1,1,0,1
262.6380923023752_277.50921220827973.mp4,1,"{'sadness': 0.000885779, 'joy': 0.000350651, 'love': 0.000209709, 'anger': 0.996897459, 'fear': 0.001486924, 'surprise': 0.000169475, 'speech_rate': 3.686327078}","{'angry': 0.111, 'disgust': 0.0, 'fear': 0.204, 'happy': 0.027, 'sad': 0.078, 'surprise': 0.059, 'neutral': 0.519, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.067226891, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.025}","{'neutral': 1.76e-10, 'happy': 1.0, 'sad': 3.25e-11, 'angry': 1.54e-11}",1,0,1,0
102.55239438685197_113.63346159285571.mp4,0,"{'sadness': 0.016909517, 'joy': 0.852722406, 'love': 0.008890212, 'anger': 0.11703366, 'fear': 0.003627534, 'surprise': 0.00081666, 'speech_rate': 2.69541779}","{'angry': 0.008, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.544, 'sad': 0.007, 'surprise': 0.0, 'neutral': 0.439, 'face_offscreen_ratio': 0.0}","{'movement_score': 0, 'fidget_percentage': 0.0, 'hand_movement': 0.0, 'face_movement': 0.0, 'arm_movement': 0.0, 'overall_intensity': 0.0}","{'neutral': 2.31e-05, 'happy': 0.999976873, 'sad': 6.03e-09, 'angry': 7.26e-12}",0,0,0,0
